Title,Description,URL
Marta and Austin Weeks Music Library,"The Marta and Austin Weeks Music Library is much more than just a collection of resources. It is a laboratory for independent exploration and high technology scholarship. The library contains sophisticated playback equipment, computers to facilitate research, and a variety of quiet and comfortable places to study. A highly trained and dedicated library staff organizes and provides assistance with the collections, equipment, and networked technology. The library’s faculty also provides formal instruction in the use of its resources. All collections on the second floor are self-service and include books, journals, and scores. Theses written by University of Miami graduates are housed with reference materials. Current periodicals display journal covers and are next to the bound journal collection. Both miniature scores and over-sized scores are housed separately. All sound and video recordings are housed on the first floor behind the Circulation Desk. This area also houses the Musical Theater archive, the Frank Cooper Music Facsimile Collection, the Camner Family Music Collection, and other special materials. Users who need help finding materials or reference or research assistance may ask at the Circulation desk.",https://www.library.miami.edu/musiclib/
Moravian Music Foundation,"The Moravian Music Foundation was founded and chartered in North Carolina in 1956, by a group of clergy and laity of the Moravian Church, to preserve, study, edit and publish the music retained in the Archives of the Moravian Church in America, Northern and Southern Provinces. Researchers in the Reading Room Researchers in the Reading Room The rediscovery of this music forms a vital link in the history of American music and culture.  Since its establishment, MMF has acquired thousands of additional items, including the Irving Lowens Collection of early American tunebooks; the band books of the 26th North Carolina Regimental Band, and the entire collection of the works of North Carolina composers Charles G. Vardell and Margaret Vardell Sandresky, and North Carolina-born composer Charles Fussell. MMF is custodian of the George Hamilton IV collection. The MMF is custodian of some 10,000 manuscripts and early imprints, which comprise music both by Moravian and non-Moravian composers; sacred and secular; American and European; vocal and instrumental.  Approximately one-third of this collection is housed at the Foundation headquarters in Winston-Salem, NC; the remainder resides in the Moravian Archives, Northern Province in Bethlehem, PA.",https://moravianmusic.org/
Music Library & Bill Schurk Sound Archives,"With almost a million recordings, the Music Library & Bill Schurk Sound Archives (MLBSSA) is the largest collection of popular music in an academic library in North America. Our recordings include 45s, 78s, 33s, LPs, reel-to-reel tapes, cassette tapes and CDs. The sound recording collection is supported by books, scores, video/film, hard-to-find periodicals, fanzines, promotional material and archival collections.",https://www.bgsu.edu/library/music.html
The National Ragtime and Jazz Archive,"In March 1974 the Board of Trustees, in recognition of Southern Illinois University Edwardsville's part in the St. Louis metropolitan community and its rich cultural tradition of jazz and ragtime music, established the National Ragtime and Jazz Archive (NRJA) at Lovejoy Library. The archive documents early recorded jazz and in particular the lives of notable jazz musicians from the St. Louis area. The John Randolph Collection, with approximately 10,500 78-rpm records, provided the original basis for the NRJA Record Collection. Today there are more than 20,000 records in the archive. Audio and videotapes, sheet music, piano rolls, photographs, and oral history materials are also included.",https://www.siue.edu/lovejoy-library/musiclistening/NRJA/index.shtml
Sarasota Music Archive,"The Sarasota Music Archive is part of the Sarasota County Library System, and is connected to the Special Collections Department of the Selby Public Library. It is one of the leading reference collections in the field of music, containing an enviable cache of several hundred thousand recordings, tapes, sheet music, books, and memorabilia. Membership dues and private donations help to fund the archive. Originally established in 1980 by its founder, Mildred Petrie, the Archive was begun by a group of dedicated volunteers in a strip mall storefront. It soon grew large enough to move into its own building and eventually merged with the Selby Library in 2000. The collection encompasses classical, opera, jazz, popular, folk, and international music, as well as video recordings. Recordings may be in the form of Edison wax cylinders, one or two-sided shellac disks, long-playing vinyl records, cassette tapes, 8-track tapes or compact discs. There are several listening stations available where recordings can be perused. There are also special collections, such as the complete recordings of opera singer Enrico Caruso, the band music collection of Merle Evans, as well as thousands of hours of radio programs. More than 40 volunteers donate hundreds of hours per month to run the Sarasota Music Archive. They are music lovers from various backgrounds including scholars, accountants, doctors, and musicians. Volunteers are responsible for cataloging the material and creating and maintaining the computer databases. They also stock the shelves, do mailings, answer the phones, plan programs and events, and provide assistance to the public. Most of the recordings and sheet music have been donated. The Sarasota Music Archive raises money by selling donated materials that are not needed for the collection at very reasonable prices. ",https://www.sarasotamusicarchive.org/
Sousa Archives and Center for American Music,"The Sousa Archives and Center for American Music (SACAM) acquires and preserves significant archival records and historical artifacts in multiple media formats that document America’s local and national music history and its diverse cultures. The Center, part of the University of Illinois Library and University Archives, arranges, describes, and makes its collections accessible in support of scholarship, exhibitions, publications and education. It offers these services in a professionally managed reference center and through on-line databases, finding aids, and other forms of publication. It provides expert advice on accepted archival practices and standards to University colleagues, scholars, and the general public. The Center’s collections are used for scholarly research, exhibitions, journalism, documentary productions, school programs, music performances, and other research and educational activities. It actively pursues alliances inside and outside the university community and, where necessary, financial support.",https://archives.library.illinois.edu/sousa/
Michelle Smith Performing Arts Library,"The Michelle Smith Performing Arts Library (MSPAL) is the central location on the College Park campus for music, theatre, and dance materials. The circulating, reference, serial, and special collections include 56,000 books, 156,000 musical scores, 130,000 audio and video recordings, 4500 microform titles, and 281 active journal subscriptions. Opened in 2000 as part of the Clarice Smith Performing Arts Center, MSPAL's public areas include a spacious main reading room with individual study carrels and computer workstations, a separate reading room for special collections, a lounge-style study room, a seminar room, and a group study room. A multi-media exhibition gallery, with an adjacent lecture/concert room, links the MSPAL to the The Clarice's exciting programming via the Grand Pavilion. Reference librarians, curators, and expert permanent staff are available on weekdays during regular working hours. Basic circulation and information services are available during evening and weekend hours. MSPAL is home to several special collections and archives of materials relating to the arts. Special Collections in Performing Arts (SCPA) of the University of Maryland Libraries contains performing arts collections that preserve performance, education, recordings, and scholarship. Also located within MSPAL, the International Piano Archives at Maryland is a unique resource for the study, appreciation, and preservation of the classical piano repertoire and its performance. IPAM's collections comprise the world's most extensive concentration of piano recordings, books, scores, programs and related materials, including the archival papers of many great keyboard artists.",https://www.lib.umd.edu/mspal
International Piano Archives at Maryland,"The International Piano Archives at Maryland is a unique resource for the study, appreciation, and preservation of the classical piano repertoire and its performance. IPAM's collections comprise the world's most extensive concentration of piano recordings, books, scores, programs and related materials, including the archival papers of many great keyboard artists. The International Piano Archives was founded in Cleveland, Ohio in 1965 by Albert Petrak and Gregor Benko, who soon moved the organization to New York City where they added William Santaella to the staff. In New York, the Archives quickly grew into an audio treasure and earned acclaim for its reissues of historic piano performances. In 1977, the International Piano Archives was given to the University of Maryland, College Park, where it serves students and faculty, as well as an international community of musicians, researchers and friends of piano performance.",https://www.lib.umd.edu/ipam
UCLA Library Special Collections,The UCLA Library Special Collections holds a large amount of primary source materials pertaining to music. This guide is intended as a starting place to point researchers to these materials and also serves as a basic orientation on using Library Special Collections holdings.,https://guides.library.ucla.edu/library-special-collections/music
The Spirituals Database,"The Spirituals Database offers searchable access to recorded track information for concert Negro Spiritual settings performed by solo Classical vocalists. The resource contains a selection from a century of historic and contemporary concert spiritual recordings produced on compact discs, long-playing (33 1/3 rpm) albums, 78 rpm records, 45 rpm discs, audio cassettes and streamed audio files, as well as demonstration recordings from musical score collections.",https://spirituals-database.com/
Blues Archive at the University of Mississippi,"The Blues Archive at the University of Mississippi acquires and preserves blues and blues-related materials in a variety of formats for scholars and blues fans alike. With over 70,000 sound recordings in most audio formats; over 60,000 photographs; more than 1,000 videos; over 34,000 books, periodicals and newsletters; and numerous manuscripts and ephemera, the Blues Archive houses one of the largest collections of blues recordings, publications, and memorabilia in the world. Important collections include B. B. King’s personal record collection, the Jim O’Neal and Amy van Singel / Living Blues Collection, the Trumpet Records Collection, the Sheldon Harris Collection, the John Richbourg Collection, and the Percy Mayfield collection.",https://libraries.olemiss.edu/specialcollectionspages/thebluesarchive/
Wisconsin Music Archive,"The Wisconsin Music Archives contains collections representing all Wisconsin musical traditions and encompassing the period from the 1850s to the present. Strengths of the collection include published sheet music, folk and ethnic music, scores by contemporary Wisconsin composers, recordings issued by Wisconsin labels, and of performers associated with Wisconsin.",https://www.library.wisc.edu/music/home/collections/wisconsin-music-archives/
World Music Archives,"From its origins as Prof. Emeritus David McAllester's personal fieldwork collection of Comanche and Navajo music, recorded in 1940 and 1950 and first used in teaching at Wesleyan in 1953, the World Music Archives has grown to include original field research materials from graduate students and established scholars, from Wesleyan and elsewhere, documenting human musical practices around the world.",https://www.wesleyan.edu/libr/collections/wma.html
Music Collection at University of Hawaii,"The Music Collection is the largest music collection in the State of Hawaiʻi. The main function of the collection is to support the teaching and research efforts of students and faculty from the UH Music Department. The music collection contains music scores, books about music, music dictionaries and other reference tools, and music-related CD-ROM databases. Recordings of music are available in the Wong Audiovisual Center. The collection is diverse and offers a wealth of material in the areas of music education, theory, esthetics, popular music, jazz, guitar repertoire, musical comedy, and history, which western classical music from the Middle Ages to the present, ethnomusicological, and Hawaiian materials. There are physical and digital repositories of Hawaiian music. Ultimately, the musicians who are the true living repositories of Hawaiʻi‘s rich musical traditions.",https://manoa.hawaii.edu/library/research/collections/music-collection/
Le Collezioni di Casa Ricordi,"From its founding in 1808 until the early 20th century, Ricordi influence and reputation were closely tied to the dynamic personalities of the four men who succeeded, from father to son, at its helm: Giovanni (1785-1853), Tito I (1811-1888), Giulio (1840-1912), and Tito II (1865-1933). This profound dynastic imprint, which ensured the successful stewardship of consolidated business practices, is reflected in the careful preservation of company documents, perceived as a veritable legacy of the family itself. Since before the advent of the telephone the overwhelming majority of business transactions were conducted in writing, we can still access the considerable collection of letters, received from composers, librettists, singers, conductors, impresarios, or business clients, or sent and recorded in a systematic and extensive series of copybooks. This monumental patrimony has now been made available for consultation by scholars and music enthusiasts the world over.",https://www.digitalarchivioricordi.com/en/
Sound Collections Database,"The RPTF/ARSC Sound Collections Database is supported by the Radio Preservation Task Force, National Recording Preservation Board of the Library of Congress (RPTF) and ARSC (Association for Recorded Sound Collections). This is the first release of this database. It includes information gathered by the RPTF, and the information will be edited and enhanced in the coming weeks and months. We will also be making changes to this site's appearance and functionality based on user feedback. The Task Force is also seeking out additional collections to list in the database.",https://database.radiopreservation.org/
Go-Set Magazine Archive,"This page aims to make available the editions of the famous Go-Set magazine which was the first Australian pop music newspaper. It was published weekly from 2 February 1966 to 24 August 1974, and was founded in Melbourne by Phillip Frazer, Peter Raphael and Tony Schauble. Widely described as a pop music ""bible"", it became an influential publication, introduced the first national pop record charts and featured many notable contributors including fashion designer Prue Acton, journalist Lily Brett, rock writer / band manager Vince Lovegrove, music commentator Ian Meldrum, rock writer / music historian Ed Nimmervoll and radio DJ Stan Rofe. Go-Set had a profound influence and Phillip Frazer, in conjunction with Geoff Watson, founded and published Australian Rolling Stone in January 1971.",https://www.anddum.com/ozmusic/goset/gosetscolorscans/gosetindex.htm
Studs Terkel Radio Archive,"The Studs Terkel Radio Archive (STRA), launched in May 2018 on Studs Terkel’s 106th birthday, is a digital platform whereon, eventually, will live the majority of the 5,600 radio programs Terkel created during his career at WFMT in Chicago between 1952 and 1997 live. This platform, augmented by curatorial commentary, re-use tools, educational resources, highlights of creative re-use, and an original podcast, along with other special features, opens up Terkel’s radio programs and allows for a deeper level of user engagement. The Chicago History Museum (CHM) owns Studs Terkel’s archival tapes.  The radio archive is jointly managed by CHM and the WFMT Radio Network, a division of Window to the World Communication Inc. CHM has owned Terkel’s tapes since he retired from WFMT and became a staff member of CHM in 1997. A preliminary online archive of some of Terkel’s audio was created in 2002 and named Studs Terkel: Conversations with America. In 2009, the Library of Congress’s Division of Recorded Sound asked CHM to lend the tapes of the original programs. Soon, the monumental task of digitizing the tapes began, at their state of the art Packard Campus of the National Audio-Visual Conservation Center in the foothills of the Blue Ridge Mountains in Culpepper, Virginia. Without this support and the expert dedication of the Library of Congress staff, contributed at no charge to CHM, there would be no radio archive. Senator Dick Durbin gets particular credit for helping this project remain a top national priority for the Library of Congress. In 2013, CHM’s President, Gary T. Johnson, approached the staff of the WFMT Radio Network about forming a partnership to make the radio archive accessible to the world. An exploratory committee, consisting of a number of Terkel’s former colleagues and friends as well as experts from related fields, was established to develop a strategic plan for the radio archive as the digitized recordings became available. A planning grant was provided by the National Endowment for the Humanities in 2014, followed by a larger implementation grant in 2016 both of which, along with support from numerous individuals and foundations, enabled work to proceed on developing the digital platform, studsterkel.org, and related programs and projects. STRA will continue to evolve, guided by the staffs at the WFMT Radio Network, the Chicago History Museum, and the Studs Terkel Radio Archive Advisory Committee, which meets regularly to shape the mission and future of the archive. Key partnerships with technology organizations including Digital ReLab and Hyperaudio, education organizations like the Chicago Public Library’s YOUMedia and Great Books Foundation, and a wide variety of media, humanities, and arts organizations have helped expand the archive’s reach.",https://studsterkel.wfmt.com
Egyptian Cassette Archive,"Egyptian Cassette Archive is a research project aiming to archive, preserve and reconsider Egyptian cassette cover designs and shining a spotlight on designers. I have been working on this project since 2016 The work is still in progress, but I think the time has come to create an archive platform on instagram to share some great information and designs",https://www.instagram.com/Egyptiancassettearchive/
Betty Nolting Collection,"On February 11, 1919, Betty Maraget Ferris Nolting was born in Wisconsin to Harry and Florence Ferris. She graduated from Lawrence University and Eastman School of Music where she studied with Joseph Lhevinne, Adele Marcus, and John Elvin. After graduation, she began her career as a music teacher. For 75 years, Mrs. Nolting passed along her wisdom, high professional standards, and love of music to her students and fellow teachers. She was known for her performance class, which served as a ""venue for other teachers to perform, learn and share their love of music with each other.""* Through this class and her presentations at local and state conferences and meetings, Mrs. Nolting was able to influence hundreds of students across the state. During her career, Mrs. Nolting served as president of the Atlanta Music Teachers Association and the Metropolitan Atlanta Music Teachers Association. She also served as the president of the Georgia Music Teachers Association from 1978-1980. In 2002, Mrs. Nolting was the first recipient of the Georgia Music Teachers Association's Teacher of the Year award.",https://digitalcommons.northgeorgia.edu/nolting/
Eda Kuhn Loeb Music Library,"The Eda Kuhn Loeb Music Library is Harvard’s home for musical materials: we embrace performance and research in and about the world's musics. Opened in 1956 as the library of the Harvard Music Department and now part of the Harvard Library, the Loeb Music Library celebrated its 50th anniversary in 2006 as one of the world’s preeminent libraries supporting music research. Its collections have broadened from Western music and historical musicology to reflect the expansion of the Music Department’s programs in composition, music theory, popular music and jazz, and musics of the worlds’ cultures. The library's audiovisual collections cover the full range of musical expressions and formats, from Western classical music and historically informed performance to popular music, jazz, and musical theatre, and from 78 rpm discs to mp3s. Its Archive of World Music holds field and commercial recordings of musics from around the world and is particularly strong in Asian and Middle Eastern repertories. The recordings in this streaming collection represent only a small part of the library's holdings; please contact us with questions about them, or any other recordings from the collection.",https://harvardmusiclib.aviaryplatform.com/
Contextual Dissemination,"The sole purpose of this website is to make underground, out-of-print, punk zines accessible to anyone doing research. Most archives in existence have limitations when it comes to accessing and viewing these zines and many collections require referrals from “Authorized” institutions to gain that access. Here at Contextual Dissemination, we recognize the origins of the punk zine and the methods used by the publishers in getting their works into the hands of anyone willing to read it, never with the intention of it being exclusive to elite institutions and antiquarian book collectors. ​ Contextual Dissemination does not own the copyrights’ to the zines. Contextual Dissemination does not sell content provided on the site, it is completely free to access. This is an open library, so feel free to explore, research and enjoy this resource. Spread the word that this site exists. Titles- There may be titles that you may not find here. In the case of fanzines such as xXx, T.V.O.R, We Got Power, and Slash, they have had proper books released with the content and we will always encourage people to support the authors by purchasing the books. Links will be provided to websites of fanzine publishers who have their archive online. Content, we are an archive, not gatekeepers of information. We do not edit content out of zines because of publisher’s beliefs, politics, ideas, or thoughts. Contextual Dissemination may not agree with every word or position included in the archive but we leave it up to the individual reader to decide if they want to view it or not, the decision is yours. This is the first round of zines we are posting. If there is a title you are in search of or find that we pulled a zine off the site for some reason or another, feel free to leave a REQUEST or email us to provide a link. We are doing our best to scan as many zines as possible and as quickly as possible but as one can imagine, it is an extremely laborious task. We do not pretend to have every punk zine ever made but we have quite an archive.",https://www.contextualdissemination.com
Mayrent Institute for Yiddish Culture,"Since its founding in 2010, the Mayrent Institute for Yiddish Culture has approached the project of supporting Yiddish culture at UW–Madison in three ways. First and foremost, we work to create programming that offers our community diverse opportunities to learn more about Yiddish culture, history, language, music, and art. The work of Yiddish culture is multi-medial and our aim is to introduce its breadth and depth with equal enthusiasm. We are also fortunate to be located within and supported by the Mosse/Weinstein Center for Jewish Studies at the University of Wisconsin–Madison, an institution that has long fostered innovative scholarship in the interdisciplinary field of Jewish studies. We contribute to this tradition with our second goal. The Mayrent Institute works to support scholarly inquiry into Yiddish culture through classes, lectures, and symposia. We stand as an active resource for faculty and students who are looking to advance conversations about Yiddish culture past and present. Finally, at the core of the Institute is the Mayrent Collection of Yiddish Recordings, a repository of more than 9,000 historical recordings of Yiddish music. We continue to work with the UW-Libraries and Mills Music Library to make the Mayrent Collection of Yiddish Recordings accessible for study to those on and off the UW-Madison campus. Click here for samplings of these recordings, which use lyric and melody to examine the power of love, migration, and nostalgia.",https://mayrent.wisc.edu/
Sounding Spirit Digital Library,"This Sounding Spirit pilot digital library features songbooks and hymnals published across the southern United States from 1850 to 1925. Spanning holdings from four partner archives, the digital library’s twenty-two books include words-only hymnals, gospel songbooks, spiritual collections, and shape-note tunebooks, demonstrating the wide variety of form, content, and presentation in southern vernacular sacred publishing. These songbooks employ competing notation systems and vary in musical style from dispersed harmony fuging tunes and plain tunes of the shape-note repertoire, to antiphonal gospel, to classically inspired arrangements of African American spirituals, to words-only hymns in Muskokee sung in unison, to tunes in oral tradition shared among southern black and white congregations. Organized into collections that highlight texts’ associated places, populations, genres, and denominational affiliations, the digital library allows for rich engagement with songbooks and hymnals seminal in their respective eras, but historically underrepresented in both archival holdings and scholarship. These works and collections illustrate the primacy of songbooks to the dynamic encounters among white, black, and native communities navigating modernizing forces across the US South and beyond. In selecting volumes for the pilot site, Sounding Spirit’s music bibliographer Erin Fulton, project director, Jesse P. Karlsberg, and project manager, Meredith Doster, collaborated with content consultants at each partner archive to balance the diversity of this twenty-two–volume corpus with each collection’s strengths. Additional criteria guiding the selection included contemporaneous significance, influence, rarity, and existence of digitized copies or available facsimiles.",https://library.soundingspirit.org/
Lilian Voudouri Music Library,"The Music Library of Greece ‘Lilian Voudouri’ was created by the Friends of Music Society in order to become a resource centre for music and the fine arts, able to support continuous research and multilevel educational programmes. Unique among its kind in Greece and freely accessible to the public, the Library has been organised and continues to operate with the aim of addressing the needs of a wide range of users. The Library uses all modern information technologies which have been applied to the field of its activities.",https://mmb.org.gr/en/digital-collections
Burns Antiphoner,"This manuscript sanctorale antiphoner, of unknown provenance and ownership history until its purchase by Boston College in 1998, was probably copied in the mid 1300s, in southern Germany, Austria or Switzerland. One of the few important and easily readable clues that remain within the manuscript itself is a single rubric that is not in Latin, as elsewhere in the manuscript and as would usually be expected, but in German (or perhaps Flemish/Dutch), suggesting that it was copied by a German-speaking scribe for German-speaking readers. It is a relatively modest volume in its proportions and format, and its several creators took a practical approach in their simple copying and decorative schemes. Though no rubric or other metatextual indication identifies the book conclusively with the Franciscans (or Clarissans), the presence of offices for the founders, Francis (Franciscus vir catholicus, by Julian of Speyer, c.1235, revised 1260) and Clare (Jam sanctae Clarae claritas, anonymous contrafactum of Julian’s Francis office, c.1295, in regular use by c.1340s) and a sequence for Francis (Caeli cives in colono) together indicate that it was probably made by and for members of the order. An unusual liturgical feature is the inclusion, within the proper, and significantly out of place in the expected calendrical sequence, of the office of Corpus Christi, Sacerdos in aeternum, promulgated in 1264 by Urban IV, but perhaps not in wide use before confirmation by Clement V at the Council of Vienne in 1311-12. The single most interesting musical feature of this otherwise completely monophonic manuscript is the inclusion of a short passage of written 2-voice polyphony at the opening of the sequence Caeli solem imitantes. Also distinctive liturgically and musically are the rarely encountered Magnificat antiphon at first vespers of Clare, O decus et gaudium (a contrafactum of the Francis antiphon O stupor et gaudium) and, in the sequence for Francis, Caeli cives in colono, a previously unreported extra double verse, Jam depulsa carnis mole. In other respects, the contents of this interesting but otherwise rather unassuming manuscript largely concord with earlier (1200s) and contemporary (1300s) Franciscan office books indexed in CANTUS.",https://burnsantiphoner.bc.edu/
Gilmore Music Library,"The Gilmore Music Library is home to a wide variety of special collections materials, comprising the Historic Sound Recordings Collection, the Oral History of American Music, and the Gilmore Music Library’s special collections. These collections include rare manuscripts, books, and scores, as well as the papers of notable composers, performers, scholars, and organizations; a wealth of sound recordings from the earliest cylinders to current technology, and a vast library of oral histories taken with notable figures from all areas of American Music. Familiar names to be found in these collections include Benny Goodman, Virgil Thomson, Charles Ives, Robert Shaw, and Vladimir Horowitz, among many others.",https://guides.library.yale.edu/MusicSpecialCollections
Woody Guthrie Publications,"Telling the story of this great American troubadour and writer through an extraordinary selection of instruments, manuscripts, objects, photographs, books, art, and audiovisual media, assembled by the collaborative curatorial team Nora Guthrie, Bob Santelli, Deana McCloud, Anna Canoni and Philip Palmer. Can't make it to the Morgan in person? Click on the link below to see a virtual tour of the exhibit and listen along as Woody tells you his story featuring additional narration by folk singer-songwriter Steve Earle. Featuring original items from the preeminent Guthrie holdings of the Woody Guthrie Center and the private collection of Barry and Judy Ollman. Prominent among these rarely seen objects are the original, handwritten song lyrics to “This Land Is Your Land,” which Guthrie composed just a few blocks away from the Morgan in 1940. The author of more than three thousand folk songs, Woody Guthrie is one of the most influential songwriters and recording artists in American history. The full corpus of his creativity—including lyrics, poetry, artwork, and largely unpublished prose writings—encompassed topics such as the environment, love, sex, spirituality, family, and racial justice. Guthrie created a personal philosophy that has impacted generations of Americans and inspired musician-activists from Pete Seeger and Bruce Springsteen to Ani DiFranco and Chuck D. As Bob Dylan noted of Guthrie, “You could listen to his songs and actually learn how to live.”",https://www.woodyguthrie.org/
Wende Museum Music Collections,"The music collection is comprised of East German albums of children’s songs, folk and pop music, hip-hop mix tapes and players, fan-pages and clothing. It also holds the archive and papers of Volkmar Andrä, a music editor for AMIGA records from 1972 to 1996. The archive and papers of Andrä document the business of AMIGA records, the popular music division of VEB Deutsche Schallplatten, the GDR’s state-controlled record company.",http://www.wendemuseum.org/collections/music
Walter P. Reuther Library,"The Audiovisual Collections at the Walter P. Reuther Library consist of still and moving photographic images, sound recordings, art work and artifacts. The collections focus on three major historical subject areas: American Labor, Metropolitan Detroit, and Wayne State University, and include materials pertaining to 20th century industrial unionism, social, political, and radical reform movements, civil rights, women in the workplace, and twentieth century Detroit history.",https://reuther.wayne.edu/node/116
Big Heavy World,Big Heavy World is established to preserve the historical record of music originating in Vermont; to create economic opportunity for Vermont's musicians and the industries vital to them; to develop community among Vermont musicians and their patrons; and to accomplish this mission in a substance-free environment that empowers and educates youth.,https://bigheavyworld.com/
Charles H. Mills Music Library,"Mills Music Library is the primary resource for music materials and information on the UW-Madison campus and in the state. Mills primarily serves the UW-Madison campus community, but it is also open to the general public. Mills Music Library reading room Mills Music Library reading room. Over the course of its history, Mills Music Library has grown from a 2,500-item departmental collection to a research library of more than 250,000 titles, with Special Collections containing an additional 250,000 items in all formats. Special strengths include Americana, musical theater, recorded sound, and ethnomusicology.",https://www.library.wisc.edu/music/about-music/
Callaway Centre Archive,"The Callaway Centre Archive is the repository of a number of unique music-related archival collections, including the personal papers of notable musicians and educators such as Sir Frank Callaway, famed English ethnomusicologist John Blacking, Western Australian pianist Eileen Joyce and English musician and teacher Irene Kohler. In addition to personal papers, the Archive houses the Handa Collection, a significant example of a formed collection created by the collecting passions of Australian, Peter Burgis, over a 50 year period. The Archive's collections are gradually being processed, catalogued and, in many cases, digitised so that researchers can access the wealth of information held in this repository.",https://www.callaway.uwa.edu.au/collections
UW Ethnomusicology Archives,"UW's Eth­no­mu­si­col­ogy Archives has been col­lecting, stewarding, and sharing ethnographic recordings since 1962. Our holdings of more than 50,000 items include sound, video, and film documenting international, national, and regional musics and related traditions.",https://guides.lib.uw.edu/archives
Faulkner at Virginia: An Audio Archive,"Welcome. Here you can listen in on William Faulkner’s sessions with audiences at the University of Virginia in 1957 and 1958, during his two terms as UVA’s first Writer-in-Residence. Under CONTEXTS you’ll find an introduction to this archive as well as essays, news articles, photographs and other materials to provide backgrounds to the writer, the times and the place. BROWSE allows you to read and play transcripts of those sessions, one tape recording or one question&answer at a time. Use SEARCH if you want to hear something in particular, such as Faulkner’s comments on one of his works or on writing or on the Civil Rights movement of that time.",https://faulkner.lib.virginia.edu/
The Western Soundscape Archive,"The Western Soundscape Archive (WSA) recognizes the vital connection between places and their soundscapes and features audio recordings of animals and environments throughout the western United States. Begun in November of 2007, the archive is housed at the University of Utah's J. Willard Marriott Library and features recordings contributed by volunteers, state and federal agencies, and conservation groups. The website continues to grow and currently includes representative sounds of more than 570 different Western bird species, all of the region's frogs and toads, dozens of reptiles and more than 100 different types of mammals. You will also find many lush, ambient recordings. The archive is supported in part by a major grant from the Institute of Museum and Library Services (IMLS).",https://westernsoundscape.org/
Briscoe Center for American History,"The Briscoe Center has long emphasized the development of its music resources as an integral part of its mission to document the historical experience of the American people. Since 1980, the center has built extensive research collections of folk and popular music from Texas and the greater South and Southwest in an effort to document the development of not only different musical styles but also the music industry itself. Those resources have given the center an international reputation as a prime source for music research. From the field recordings of folklorist John A. Lomax to the business records of legendary Austin music venues the Armadillo World Headquarters and the Soap Creek Saloon, the Briscoe Center has a diverse music collection reflecting the many genres of American music. The Music and Entertainment History collection contains recordings, sheet music, photographs, videos, business records, correspondence, and lyrics in the collections of music figures like folklorist Tary Owens, journalist Townsend Miller, producer Bob Johnston, photographer Tom Wright, and musician Willie Nelson. Closely allied with the center’s music collections is the Professional Touring Entertainment Industry Archive, a series of collections created in 1995 to document the history of touring entertainment companies and those venues and arenas where acts performed. The holdings embrace virtually the entire twentieth century, with subjects that range from vaudeville shows and concerts to ice shows and Harlem Globetrotters basketball.",https://briscoecenter.org/collections/music-and-entertainment-history/
The jazz collections at the University Library of Southern Denmark,"The Music Department at the University Library of Southern Denmark (SDUB) in Odense has through donations and acquisitions since 1997 achieved the status of research archive of specialist jazz studies. The Danish Jazz Center ceased to exist on the 1st July 1997. A great deal of the collections was transferred to the former Odense University Library - including the Center's public collection, Timme Rosenkrantz's Collection, Ben Webster's Collection, Radio Jazz's Collection and Erik Lindemann's Collection - a smaller part went to the Danish Jazz Assocation while that part of the collection, which belonged to the Head of the Center, Arnvid Meyer, has since been purchased by the Royal Library although it has up to now remained in Meyer's possession. The collections at the University Library of Southern Denmark have since been enlarged due to purchases and donations, for example, the private collections of Svend Asmussen, Richard Boone, and a collection of negatives from the photographer Ole Brask. The collections can be used during the University Library’s opening hours. Indexes to the Jazz Center's collections of tape recordings and videos and Rosenkrantz's, Webster's and Lindemann's collections accompanied the collections and can be used on the premises. All books, sheet music, records, CDs and DVDs plus all reel-to-reel tapes in the Timme Rosenkrantz, Ben Webster and Svend Asmussen collections are catalogued and can be retrieved in the library's catalogue and can be loaned. Current registration is concentrated on the reel-to-reel tapes in the Danish Jazz Center’s Collection.",https://www.sdu.dk/en/bibliotek/materialer/om+samlingerne/jazz
Freedman Jewish Sound Archive,"Located in Penn's Van Pelt-Dietrich Library, Room 453, this musical  research library, international, and multi-lingual in scope, is a collection of  approximately 5,300 Judaic sound recordings, in various formats (78, 45 and 33rpm, reel to reel and cassette tapes, compact discs, videos and DVDs). Over thirty three hundred of these recordings have been catalogued in an easily searchable internet database displaying song titles, authors, composers, performers, first lines and other related information. The core of the Archive is the sound recordings, diverse in scope. The three major Judaic languages, Yiddish, Hebrew and Ladino are well represented as well as translations in various languages. All genres are represented Israeli, songs of the Diaspora, instrumentals (klezmer and classical), spoken word, songs of the folk, theater, holocaust, literary origin and religious songs (Chassidic, liturgical cantorial). While the sound recordings are the core of the collection, there are three satellite collections. The satellite collections are some five hundred publications in which original text, translation, transliteration and melody line of the recorded songs and poems are available; a sheet music collection of some 1,000 pieces (with thousands of pieces of sheet music yet to be catalogued); and ephemera, over 1,300 items of newspaper and magazine articles, concert programs, images, playbills, song pamphlets and assorted memorabilia. Each item in these satellite collections are linked to the respective item in the sound archive, whether a song title, the name of a performer, poet, songwriter, composer or arranger, or album title. Each of the publications are linked to the University of Pennsylvania library, and are a mouse click away from the call number, location of the book and pertinent details regarding the specific publication. The location of each piece of sheet music and ephemera is displayed so that it may easily be retrieved. Additional sheet music resources are available at the Free Library of Philadelphia (not affiliated with UPenn).",http://sceti.library.upenn.edu/freedman/learn_intro.cfm
