Title,Primary Subject,Secondary Subjects,URL,URL 2,Description,Online Accessibility,Language
ROMARCHIVE,Location (Romani Music),"Classical, Jazz, Flamenco",https://www.romarchive.eu/en/music/,,"The RomArchive is a curated collection of Romani arts with the mission of preserving, understanding, and constructing narratives around Romani culture. The music collection features curated audio and visual works paired with articles exploring Romani contributions to different regional music and genres. The collection contextualizes the history of the Romani people and how their broad musical influence relates to their existence in Europe. ",Full,EN
BBC ARCHIVE COLLECTIONS,Location (UK),Popular Music,https://www.bbc.co.uk/archive/collections ,https://www.bbc.co.uk/archive/music/zmb2cqt,"The BBC Archive Centre in Perivale, West London, houses most of the BBC Archive collections across 8 vaults and 60 miles of shelving containing 15 million assets. Other stores are held across London, in Caversham near Reading and at other sites around the UK. Around 200 staff work in BBC Archives; their aim is to manage the diverse range of collections and support research, reuse and access to BBC material by BBC staff and others who need it. ",Partial,EN
THE PIRATE ARCHIVE ,Location (UK),Pirate Radio,https://www.thepiratearchive.net/ ,,"The Pirate Archive is a tribute to the people who put in the hard work running pirate radio stations in the United Kingdom. It is set up to preserve stories and old recordings of stations from around the country. The archive includes catalogues of pirate stations in the UK with related information including text, audio, and video where available. ",Full,EN
AUDIO ENGINEERING SOCIETY ORAL HISTORY PROJECT ,Music Industry,Classical,https://www.aes.org/historical/oral/ ,,"Collectively, the men and women profiled in this collection of AES Oral History DVDs have been responsible for some of the most meaningful and lasting innovations in the audio engineering field. This AES Oral History Project will be an inspiration to current and future members of the professional audio community, and in particular to the many College, University and dedicated pro audio schools which have proliferated throughout the world. ","Partial, Subscription",EN
WORLD RADIO HISTORY,Music Industry,"Radio, Music Publications",https://worldradiohistory.com/index.htm,,"Alongside their many archives of music magazines from the US and UK, World Radio History is a collection of publication archives related to broadcasting and the business and technical sides of radio. Their collection of American magazines skews toward early and long running music industry focused magazines, like Billboard, Music Reporter (fka Country Music Reporter), and Record World. Notably, World Radio History also has large archives of UK music magazines New Musical Express and Melody Maker.",Full,EN
NAMM LIBRARY ,Music Industry,Recorded Music,https://www.namm.org/library,,"The NAMM Oral History Collection is unique, unlike any other collection in the world. The heart of the Collection is the depth of its narratives that cover innovative creations, the evolution of musical instruments, the ever-changing world of music retail, as well as their collective quest to improve music education around the globe. 

Oral History participants have come from 79 different countries, 49 U.S. states and were born between 1896 and 1997. The library of video interviews, spanning more than 4,000 interviews, contains the story of the music industry told by those who helped to shape it and have watched it expand and develop through the years. ",Partial,EN
EMI ARCHIVE TRUST ,Music Industry,EMI,https://www.emiarchivetrust.org,,"The EMI Group of companies gifted much of their assets which originated before 1947 to the Trust. The purpose of the Trust is “the advancement of education and research and, in particular, to foster and promote the study and appreciation of the art techniques and development of sound recording and the history of the sound recording industry”. The collections start with the early recorded music industry and the role that EMI (originally The Gramophone Company) played in the emerging industry’s development and globalisation, from 1897 through to 1946.",Catalogue only,EN
THE VILLAGE VOICE,Music Publications,New York City,https://news.google.com/newspapers?nid=KEtq3P1Vf8oC&dat=19601215&b_mode=2&hl=en,,"Founded in 1955, The Village Voice is heralded as the first alt-weekly newspaper in America. Alt-weeklies that followed mimicked the form of The Village Voice in its focus on local cultural coverage and progressive stances on LGBT rights, politics, and real estate development, to name a few. The Village Voice was published until 2017 when it took a hiatus until 2021 under new ownership as a quarterly publication.
This archive includes a majority of the early issues and sporadic issues over the newspaper’s lifespan.",Full,EN
DANCE MUSIC REPORT ARCHIVE,Music Publications,Electronic Music,https://ultramaroon.net/dance-music-report/ ,,"Dance Music Report was a DJ Magazine that was popular in the 1980s to the early 1990s. It was the alternative to Billboard and featured Hi-NRG and Dance Charts and info for DJs. 

This is a fan-run partial archive containing issues of DMR, DMR Charts, and issues of Harmonic Keys, a short-lived service from 1986 that listed the keys for popular dance tracks. All files available as pdf. ",Full,EN
FAITH FANZINE,Music Publications,"Electronic Music, House",https://www.faith.london/,,"Originally founded in 1999, Faith ran for 13 years as a publication dedicated to house music. Beyond the fanzine, Faith also threw and promoted club nights that purported to not be a superclub, not have any corporate sponsorship, and not have DJs that travel in jets. In 2020, it was announced Faith would return as a physical magazine in partnership with London house label Defected. The Faith archive has digital copies of all issues from 1999 up to the revival of the fanzine. There is also an events directory, playlists, their radio program, and music released under their record label imprint.",Full,EN
MUZIK MAGAZINE,Music Publications,Electronic Music,http://www.muzikmagazine.co.uk/,,"Muzik Magazine was a British dance music magazine that ran from 1995 to 2003. It mainly featured interviews, reviews, and news surrounding major dance music figures, but cover stars near the end of its run also included the likes of Erykah Badu and Eminem. Muzik also featured extensive coverage of the culture surrounding electronic music through topics like the best clubs in the world, new drugs that had permeated the scene, and reader surveys. 

This archive features a PDF copy of all 99 issues of Muzik.",Full,EN
NEW ON THE CHARTS ,Music Publications,"Popular Music, Music Industry",https://www.notc.com/,,"Originally established in 1976, New On The Charts was a subscription-based music business information service used by executives at both major and indie record companies and music publishing firms, professional songwriters and producers, talent managers and ad agencies, as well as numerous other music-related businesses. The website includes a detailed compilation of the publication’s history and access to every issue published between 1976 and 2011.",Paywall,EN
RIPM JAZZ,Music Publications,Jazz,https://ripmjazz.org/,,"The RIPM Jazz Periodicals Archive is a collection of 105 Jazz periodicals dating from 1914 to 2006. RIPM (Le Répertoire international de la presse musicale) is dedicated to producing high quality scans of magazines to provide a long-lasting digital record of jazz specific press.
Periodicals in the archive are available as high resolution scans with regular additions made. ","Catalogue, Subscription",EN
"CODA MAGAZINE, THE JOURNAL OF JAZZ & IMPROVISED MUSIC ",Music Publications,"Jazz, Canada",https://archive.org/details/pub_coda-magazine ,,"Coda Magazine was a bi-monthly Canadian music magazine published from 1958 through 2009. Coda included interviews, feature articles, reviews, and news both focused on jazz in Canada as well as the international growth of the genre. This archive spans over 200 issues from 1973 to 2008.",Full,EN
DOWNBEAT MAGAZINE,Music Publications,"Jazz, Blues",https://archive.org/details/pub_down-beat ,,"DownBeat is a music magazine focused on “blues, jazz, and beyond” established in 1934 in Chicago, Illinois. This archive was established in March of 2021 and currently contains microfilm scans of issues from 1937 to 1961. DownBeat features extensive news, reviews, and interviews as well as annual readers’ and critics’ polls. Winners of both polls make up the DownBeat Jazz Hall of Fame.

Despite being listed on the Internet Archive as Down Beat 1937-2014, the archive currently spans all issues from 1937 to 1961 with additional recent issues from the 2000s and 2010s available via the magazine’s website. ",Full,EN
BLUES & SOUL MAGAZINE,Music Publications,"Hip-Hop, Soul, Blues",http://www.bluesandsoul.com/archives/ ,,"Founded in 1967, Blues & Soul is a British music magazine focused on hip-hop, R&B, dance, soul, funk, jazz, and blues. Alongside interviews, reviews, and event coverage, Blues & Soul also became notorious for their charts and polls. As of 2011, the magazine relaunched their print publication to run every other month.
This archive has full issues of the print magazine dating back to 2007.",Full,EN
VIBE MAGAZINE,Music Publications,"Hip-Hop, R&B",https://books.google.com/books/about/Vibe.html,,"Vibe Magazine is a music and entertainment publication focused on R&B, hip-hop, and Black culture. It was founded in 1993 by music producers Quincy Jones and David Salzman and was published in print until 2014. Vibe’s brand expanded beyond the traditional features, reviews, and interviews into its own award show, Best Rapper Alive Tournament, and special editions like Vibe Vixen which focused on beauty, fashion, and other traditional women’s magazine content.
 
This archive contains all print issues from 1993 to 2008.",Full,EN
RAVE ARCHIVE,Music Publications,Electronic Music,http://ravearchive.com/ ,,Fan-curated collection of zines and audio recordings about the 1990s rave scene. Includes issues of Rave Scene and German magazines like Frontpage and Groove. All files are hosted via the Internet Archive. ,Full,EN
SMASH HITS,Music Publications,"Popular Music, Rock",https://michaelmouse1967.wixsite.com/smashhits-remembered,,"Smash Hits was a UK based pop music magazine aimed at teenagers and young adults. The magazine ran from 1979 to 2006 before ceasing production. Smash Hits provided interviews, lyrics, photos, and pop music news.
This archive includes all issues of Smash Hits including auxiliary international versions, post mortem special issues, year books, and sticker books. There are also links to a documentary about the magazine, photos of other memorabilia, and a record of readers’ polls and tour programs. Some issues are also available on the Internet Archive.",Full,EN
SPIN MAGAZINE,Music Publications,"Alternative, Popular Music",https://books.google.com/books?id=HTMuhxamaFEC&source=gbs_all_issues_r&cad=1&atm_aiy=1980#all_issues_anchor,,"SPIN was founded in 1985 as a publication focused on indie rock, hip-hop, and other underground alternative genres. In addition to news, reviews, features, and interviews related to music, the magazine also published articles about greater alternative cultural phenomena and politics. This archive encompasses all physical issues of the magazine from 1985 to 2012 when the magazine transitioned into a fully online publication.",Full,EN
SELECT MAGAZINE SCANS,Music Publications,"Popular Music, Britpop",http://selectmagazinescans.monkeon.co.uk/ ,,"Select Magazine was a British music magazine that predominantly covered Britpop from the mid-90s to 2001. While not a complete collection, this archive provides scans of main features and articles from every issue of the magazine. It also has scans of every installment of main recurring columns.",Full,EN
ROCK SCENE,Music Publications,"Rock, Glam Rock, Punk",http://www.rockscenester.com/,,"Published from 1973 to 1982, Rock Scene documented the rise of glam and punk rock. The magazine acted as a sort of hybrid between fanzine and tabloid. Rock Scene’s content was known for featuring backstage and after party photos among tour scrapbooks, interviews, and cover stars like David Bowie, KISS, Aerosmith, Elton John, and The New York Dolls.
All issues of Rock Scene in this archive can be downloaded to be viewed in entirety.",Full,EN
TROUSER PRESS,Music Publications,"Rock, Punk",https://trouserpress.com/,,"Initially self-described as “America’s Only British Music Magazine,” Trouser Press was a New York-based music magazine that focused on the growing British, and later American, rock and punk scenes. In 1983, Trouser Press published the first Trouser Press Record Guide. They would go on to publish five lengthy books of album reviews over the following 15 years. In 2020, Trouser Press relaunched as an online publication.

This archive includes all 95 print issues of Trouser Press from 1974 to its closure in 1984 and a description of how each cover came to be, as well as anything particularly notable inside.",Full,EN
BIZZ ARCHIVE,Music Publications,"Rock, Brazil",https://revistabizz.blogspot.com/p/todas-as-edicoes.html ,,"Bizz Magazine was a Brazilian music magazine started in 1985 following the dissolution of Brazil’s military dictatorship. Seeing an explosion of youth culture at the first Rock In Rio festival and a desire among that youth to learn about music, the magazine focused on coverage tailored to rock of the time both in Brazil and abroad.
At the time of writing, this archive features digitized copies of a majority of the 192 issues alongside special editions with more narrow coverage.",Full,BR
EL EXPRESO IMAGINARIO,Music Publications,"Rock, Argentina",http://laexpresoimaginario.blogspot.com/,,"Founded in 1976 at the beginning of a military dictatorship that ruled over Argentina, El Expreso Imaginario was a magazine based around the music and progressive arts and culture of the country. With its signature illustrated covers, the magazine focused on covering the growing rock scene in Argentina and other similarly occupied South American countries alongside the greater American and British scenes. Due to the heavy censorship of the time, El Expreso Imaginario is remembered as much for providing an alternative, progressive point of view as it is for music coverage.
This archive provides PDF copies of all 78 issues of El Expreso Imaginario, ranging from 1976 to 1983, as well as an extensive history of the magazine, the people who made it, and the atmosphere of Argentina at the time.",Full,AR
PLAN B MAGAZINE,Music Publications,"Indie, Alternative",https://archive.org/details/planb-magazine,,"Plan B was a London based monthly music magazine that was published from 2004 to 2009. The magazine mainly covered independent artists and featured major indie acts of the aughts such as cover stars Grizzly Bear, Cat Power, Silver Jews, Dirty Projectors, and more. This archive spans all 46 issues of the magazine.",Full,EN
THEATRE ARTS MAGAZINE,Music Publications,"Theatre, Classical",https://archive.org/details/pub_theatre-arts ,,"Running from 1916 to 1964, Theatre Arts was a monthly magazine that acted as a guide to modern theatre of the day. As time went on, the magazine encompassed dance and music as well as traditional theatre in its coverage and criticism.
This archive features over 500 complete issues spanning each year of its publication.",Full,EN
SOUL NEWS ARCHIVE,Music Publications,"Soul, Popular Music, Los Angeles",https://www.soulnewsarchive.com/,,"SOUL Newspaper and SOUL Illustrated were Los Angeles based Black Entertainment magazines published from 1966 to 1982. Created out of a need for positive news circulation seen by co-founder Ken Jones after watching fires in South Central Los Angeles while covering the 1965 Watts Riots, SOUL features articles and photos of innovative Black musicians and entertainers. 

While not a full archive of everything published under SOUL, this is a large digital collection featuring issues from much of the newspaper’s 16 year lifespan.",Full,EN
EBONY,Music Publications,"Soul, R&B",https://books.google.com/books/about/Ebony.html?id=QoVz2rpp-skC ,,"Founded in 1945, Ebony Magazine has covered far reaching aspects of African American culture, especially focused on politics, civil rights, and pop culture. In its music coverage, Ebony has highlighted Black musicians with iconic covers and cover stories for over 75 years.
This archive encompasses digitized copies of the formerly monthly print magazine from 1959 to 2008.",Full,EN
BILLBOARD ,Music Publications,Music Industry,https://books.google.it/books/about/Billboard.html?id=pBQEAAAAMBAJ&redir_esc=y,https://onlinebooks.library.upenn.edu/webbin/serial?id=billboard,"Now in its 114th year, Billboard is one of the best known music industry publications and its charts are among the most referenced. Google Books offers a fully searchable archive of the magazine going back to the 1940s while the Internet Archive has scans going back to the 1890s. ",Full,EN
NIGHTSHIFT MAGAZINE,Music Publications ,UK,http://nightshiftmag.co.uk/,,"Nightshift is a free monthly music magazine based in Oxford, England. Nightshift has a history of focusing on covering local British acts, promoting shows in the area, and reviewing demos. While the magazine has been published since 1991, this digital archive encompasses every issue from 2005 forward.",Full,EN
INDEPENDENT VOICES: CAMPUS UNDERGROUND COLLECTION ,Music Publications ,United States,https://www.jstor.org/site/reveal-digital/independent-voices/campus-underground/ ,,"The Campus Underground is a series of influential college town and campus newspaper archives collected as a part of Reveal Digital’s greater Independent Voices collection. Alongside over 75 others, iconic papers such as The Los Angeles Free Press, Berkeley Barb, East
Lansing’s The Paper, and Detroit’s Fifth Estate all have extensive archives available to the public. Like alt-weeklies and other alternative news publications, each has extensive arts and culture sections specific to their respective locales.",Full,EN
MU:ZINES ,Music Publications,"Music Production, Electronic Music, Rock, Pop ",http://www.muzines.co.uk/mags ,,"mu:zines is a non-commercial, labour-of-love archive project to collect, scan and re-publish old music production magazines in an accessible, and searchable form, for reference and general interest purposes. 

The site currently features extensive issues of Sound On Sound, Electronic Music Maker, and Music Technology alongside other publications. ",Full,EN
THE BLACK MUSIC HISTORY LIBRARY,Popular Music,Black Music,https://blackmusiclibrary.com/,,"The Black Music History Library is a collection of books, articles, documentaries, series, podcasts and more. The collection spans a wide range of genres starting in the 1800s through present day focusing on an expanded view of Black music. The stated mission of The Black Music History library is to “address any instances in which Black participation led to the creation or innovation of music across the diaspora” to reframe Black music as fundamental to the development of American, Latinx, and popular music as we know them today. 

The site is broken down by genre. Each section is further organized chronologically with resources of particular note labeled with a star and resources with Black authors highlighted. Aside from the collection itself, the site contains directories of Black music journalists, music scholars, and additional relevant websites.",Full,EN
EMI MUSIC CANADA ARCHIVE,Popular Music,Canada,http://contentdm.ucalgary.ca/digital/collection/emi ,,"On March 31, 2016, the University of Calgary announced that Universal Music Canada has donated the archive of EMI Music Canada to the university’s Libraries and Cultural Resources. This gift gives students, researchers and music fans around the world access to documentation of more than half a century of contemporary music spanning a range of genres. ",Catalogue only,EN
GREAT AMERICAN SONGBOOK ARCHIVES & LIBRARY,Popular Music,United States,https://thesongbook.org/archives-library/inside-the-archives/  ,,"The Great American Songbook Archives & Library exists to preserve the physical artifacts of the Songbook so that current and future generations can experience them. It is the only facility dedicated to preserving the Great American Songbook. 

The Great American Songbook Foundation Library and Archives was created in 2008 with the receipt of the Gus Kahn and Donald Kahn Collections. Since that date, it has expanded to include the collections of Hy Zaret, Meredith Willson, Ray Charles (the arranger) and numerous others. Library collections include LPs donated by Will Friedwald and Didier Deutsch, as well as books, CDs, DVDs and more. The library and archives works to serve the teaching and research needs of its user communities by collecting as comprehensively as possible those materials that have enduring value to documenting the history of American popular music.",Partial,EN
ARCHIVES OF AFRICAN AMERICAN MUSIC AND CULTURE,Popular Music,"Hip-Hop, Classical",https://aaamc.indiana.edu/ ,,"Established in 1991, the Archives of African American Music and Culture (AAAMC) is a repository of materials covering a range of African American musical idioms and cultural expressions from the post-World War II era. The collections highlight popular, religious, and classical music, with genres ranging from blues and gospel to R&B and contemporary hip hop. The AAAMC also houses extensive materials related to the documentation of Black radio. ",Partial,EN
WOMXN WHO ROCK DIGITAL ORAL HISTORY ARCHIVE,Popular Music,"Women in Music, Hip-Hop, Punk",https://content.lib.washington.edu/wwrweb/ ,,"Womxn Who Rock brings together scholars, musicians, media-makers, performers, artists, and activists to explore the role of women and popular music in the creation of cultural scenes and social justice movements in the Americas and beyond. This multifaceted endeavor reshapes conventional understandings of music and cultural production by initiating collective methods of research, teaching, and community and scholarly collaboration. 

The project encompasses several interwoven components: an annual participant-driven, community engagement conference and film festival; project-based coursework at the graduate and undergraduate levels; and an oral history archive that ties the various components together. ",Full,EN
DC PUNK ARCHIVE,Punk,"District of Columbia, Music Publications",https://digdc.dclibrary.org/,,"A part of the DigDC archives at the DC Public Library, The DC Punk Archive encompasses a Punk Zine Library as well as a collection of fliers, posters, and programs. The zine library is a collection of digitized zines available to the general public based around the DC punk music scene. The collection predominantly features zines made in the 1980s but encompasses works from 1970 to present day. The collection of posters and fliers features a record of live music in DC as well as mission statements, record inserts, and other ephemera ranging from the 1970s to present day.",Full,EN
DIGITAL FANZINE PRESERVATION SOCIETY,Punk,"Hardcore, Music Publications",https://archive.org/details/digitalfanzinepreservationsociety?&sort=-week&page=2 ,,The Digital Fanzine Preservation Society was a blogspot dedicated to digitizing a collection of punk and hardcore fanzines. The collection was created between 2009 and 2011 and contains over 100 zines from the early 2000s. ,Full,EN
HEARTATTACK FANZINE,Punk,Music Publications,http://www.heartattackarchive.com/,,HeartattaCk was a punk zine published from 1994 to 2006 that focused on hardcore with an anti-consumerist bend. HeartattaCk was one of the major punk-focused fanzines of the 90s alongside Maximumrocknroll and Punk Planet. This archive contains PDFs of every issue published over the zine’s 12-year run.,Full,EN
MAXIMUM ROCKNROLL,Punk,"Hardcore, Music Publications",https://archive.org/details/maximumrnr ,,"Maximum Rocknroll, also stylized maximumrocknroll, was a non-profit punk zine based in San Francisco. It was published in print from 1982 until 2019 when the team transitioned into focusing on just online reviews and their radio show. In its traditional format, the fanzine was focused mainly on interviews and reviews with other features like op-eds, news roundups and international contributors’ essays.
This archive provides almost 400 scanned copies of the zine spanning 1982 to 2018.",Full,EN
PUNK PLANET ARCHIVE,Punk,"Music Publications, Chicago",https://archive.org/details/punkplanet?tab=collection ,,"Punk Planet was a punk zine based out of Chicago, Illinois running from 1994 to 2007. Punk Planet covered exclusively independently released albums in characteristically lengthy reviews sections alongside interviews and articles concerning media criticism, labor issues, and feminism. Punk Planet approached their coverage through the lens of punk as a greater subculture rather than merely a youth centered genre of music, an approach that shows in their commitment to a broad range of independent arts and interviews typically concerned with the intentions of the artist.

The Punk Planet archive contains full color scans of all 80 issues of the zine. ",Full,EN
RAZORCAKE ,Punk,"Music Publications, Los Angeles",https://razorcake.org/category/read/back-issue-pdfs/ ,,"Razorcake is a Los Angeles based, non-profit punk fanzine that was started in 2001. The zine is focused on DIY ethics, community growth, and progressive politics in its coverage as well as advertisement and distribution practices. This archive features all print issues of the zine dating back to the first issue. ",Full,EN
SOUTHERN PUNK ARCHIVE,Punk,"Hardcore, American South",http://www.southernpunkarchive.com,,"The Southern Punk Archive is an archival initiative looking to document stories and ephemera from punk in the American South. The goal of the archive is to make note of the regional identity, traditions, and historical significance of the American South on punk and hardcore.",Full,EN
SPARROW’S NEST LIBRARY ARCHIVE,Punk,"Music Publications, East Midlands",https://thesparrowsnest.org.uk/,,"The Sparrow’s Nest Library is a collection of zines and magazines focused on anarchism in the UK as well as the history of protest and radicalism focused on the East Midlands region of England. Alongside the large collection of politically focused zines, Sparrow’s Nest is home to many fanzines surrounding the anarcho-punk scene of the region.",Full,EN
WOMEN IN L.A. PUNK ARCHIVE ,Punk,"Rock, Los Angeles",https://alicebag.com/women-in-la-punk,,A personal archive of interviews with women involved in the Los Angeles punk scene curated by Alice Bag and hosted on her personal website. The archive consists primarily of interviews between Bag and the subjects with some photography and videos. ,Full,EN
ENCYCLOPAEDIA METALLUM: METAL ARCHIVES,Punk (Metal),,https://www.metal-archives.com/ ,,"Encyclopaedia Metallum is an archive of information on thousands of metal bands and labels as well as a forum and review site. The website lists extensive information on each band including the specific subgenre, status, country of origin, members, and social media among any other information available.",Full,EN
BOSTON PUBLIC LIBRARY VINYL LP COLLECTION,Recorded Music,,https://archive.org/details/vinyl_bostonpubliclibrary?tab=about ,,"The Boston Public Library (BPL) sound collection includes hundreds of thousands of audio recordings in a variety of historical formats, including wax cylinders, 78 rpms, and LPs. The recordings span many genres, including classical, pop, rock, jazz, and opera – from 78s produced in the early 1900s to LPs from the 1980s. These recordings have never been circulated and were in storage for several decades, uncataloged and inaccessible to the public. By collaborating with the Internet Archive, Boston Public Libraries audio collection can be heard by new audiences of scholars, researchers and music lovers worldwide.",Full,EN
RODGERS AND HAMMERSTEIN ARCHIVES OF RECORDED SOUND ,Recorded Music,,https://www.nypl.org/about/divisions/rodgers-and-hammerstein-archives-recorded-sound,,"The Rodgers and Hammerstein Archives of Recorded Sound of The New York Public Library is one of the richest resources of recorded sound in the world. The Archives' holdings cover virtually every aspect of recorded sound—from Mozart to Maria Callas to Motown, from symphonic works to presidential speeches, from radio dramas to television specials. A vital research facility for performers, musicians, scholars, critics, and the recording industry, the collection also plays a leadership role in developing technology that allows for the transfer of sound from obsolete to accessible formats. 

The Archives contains approximately 700,000 recordings and more than 100,000 printed items. Resources—available for study free of charge. ",Full,EN
THE ARCHIVE OF CONTEMPORARY MUSIC,Recorded Music,,https://arcmusic.org/ ,,"The ARChive of Contemporary Music (ARC) is a not-for-profit archive, music library and research center located in New York City since 1985. ARC contains more than three million sound recordings. They preserve copies of each version of every recording, in all known formats, and have electronically catalogued more than 400,000 sound recordings and digitized 200,000 with their partners the Internet Archive – more than any other public, university or private library in America. ARC also houses more than three million pieces of attendant support material including photographs, videos, DVDs, books, magazines, press kits, sheet music, ephemera and memorabilia. The value of ARC’s collection is not only in the rareness of many of our recordings, but in the breadth, size and organization of the collection.  

The ARChive website includes databases of catalogues including recordings, genres, books, instruments, and special collections. The Internet Archive contains digital copies of books and music from the ARChive. Some of the audio materials at the Internet Archive are limited in usage based on rights and some of the books are accessible via the IA’s lending system. ",Full,EN
SIXTYEIGHT2OHFIVE: A Playlist Project,Recorded Music,"Rock, Hip-Hop, Popular Music",https://www.68to05.com/,,"SixtyEight2OhFive is a playlist archive and essay series helmed by poet and author, Hanif Abdurraqib. The playlist project started as an exploration in defining the “family tree” of the music that has informed Abdurraqib’s musical influences spanning the years 1968 to 2005. SixtyEight2OhFive has an accompanying essay series where a wide range of writers and musicians discuss an album from the range of years that changed their lives.
Each year’s page in the playlist archive provides a Spotify playlist, Abdurraqib’s favorite albums, a gallery of magazine covers, and videos of notable live performances.",Full,EN
LOU REED ARCHIVE,Rock,,https://www.nypl.org/loureed ,,"The Lou Reed Archive documents the history of Reed's life as a musician, composer, poet, writer, photographer, and tai-chi student through his own extensive papers, photographs, recordings and other materials. The archive spans Reed's creative life—from his 1958 Freeport High School band, the Shades, to his final performances in 2013.",None,EN
LOUISVILLE UNDERGROUND MUSIC ARCHIVE,Rock,Louisville,https://digital.library.louisville.edu/cdm/landingpage/collection/luma/ ,,"The Louisville Underground Music Archive (LUMA) Project began as a concerted effort in early 2013 to address the gap in the historical record related to independent/underground rock music culture in Louisville. The LUMA Project collects oral histories, show recordings, set lists, photographs, zines, posters, flyers, t-shirts, ephemera, correspondence, business records, and early web history related to the local rock/punk/indie/hardcore music scene. The LUMA digital collection consists of selected items from the LUMA Project. Starting with a full run (31 issues) of The Official Burt the Cat Fanclub Newsletter, items with clear copyright may be digitized and added to the LUMA digital collection as resources allow.",Partial,EN
NIRVANA ARCHIVE,Rock,,https://www.livenirvana.com/index.php ,,"Fan-run archive collecting interviews, photographs, demos and more of the band.  ",Full,EN
ROCK & ROLL HALL OF FAME LIBRARY & ARCHIVES,Rock,,https://www.rockhall.com/library ,,"The Rock & Roll Hall of Fame Library & Archives collects, preserves, and provides access to the hall of fame collections to help visitors engage and teach with the materials. Library materials include books, periodicals, and physical releases, while the archives contain unique documents, graphic materials, and recordings (audio and video) from both bands and fans. ",Partial,EN
ROCK’S BACKPAGES ,Rock,Music Publications,https://www.rocksbackpages.com/ ,,"Rock's Backpages is the world's most comprehensive online database of pop music writing. It contains an ever-expanding collection of primary-source full-text articles from the music and mainstream press from the 1950s to the present day, along with a collection of exclusive audio interviews.",Subscription,EN
WOMEN OF ROCK ORAL HISTORY PROJECT,Rock,,http://www.womenofrock.org/#home ,,"The Women of Rock Oral History Project is a collection of digital interviews and written transcripts housed at the Sophia Smith Collection at Smith College, documenting the lives and careers of women in rock music, focusing primarily on artists who have been left out of the popular rock narrative. 

Started in 2014, by Tanya Pearson, the collection now consists of over 40 interviews. The project’s main initiative is to construct a more comprehensive history of rock music by creating a well publicized, diverse and accessible collection of personal histories. The website includes full video interviews and transcripts are available via the Sophia Smith Collection. ",Full,EN
312 SOUL,Soul,"Funk, House",https://www.312soul.com/ ,,"#312Soul began as a month-long exploration of Chicago’s Black music history from 1955 to 1990. Curated by O’Keefe Reinhard & Paul and Vince Lawrence, it’s now an ongoing project. The project explores the years 1955 to 1990 and the songs and sounds that emanated from Chicago’s Southside. From the gospel-influenced Soul of late 50s and early 60s to the message songs of Curtis Mayfield and Cur-Tom Records; the powerful and ubiquitous “Horn Sound of Chicago” to the birth of the now global phenomenon known as House, the project presents untold stories and unsung stars who lived through each exciting era.",Full,EN
AMERICAN RELIGIOUS SOUNDS PROJECT ,Sounds (Found sounds),United States,https://religioussounds.osu.edu/,,"What does religion in the United States sound like? This question animates the American Religious Sounds Project (ARSP), a collaborative research initiative co-directed by Amy DeRogatis (Michigan State University) and Isaac Weiner (Ohio State University), which aims to offer new resources for documenting and interpreting the diversity of American religious life by attending to its varied sonic cultures. To date, the Project has centered on: (1) the construction of a unique sonic archive, documenting the diversity of everyday religious life through newly produced field recordings, interviews, oral histories, and related materials; and (2) the development of a digital platform and website, which draws on materials in our archive to engage users in telling new stories about religious diversity in the U.S.",Full,EN
BRITISH LIBRARY SOUND ARCHIVE ,Sounds (Found sounds),"Recorded Music, UK",https://sounds.bl.uk/ ,,"Listen to a selection from the British Library’s extensive collections of unique sound recordings, which come from all over the world and cover the entire range of recorded sound: music, drama and literature, oral history, wildlife and environmental sounds.",Partial,EN
UBU WEB: SOUND ,Sounds (Sound Art),Recorded Music,https://www.ubu.com/sound/index.html ,,"Originally focusing on Sound Poetry proper, UbuWeb's Sound section has grown to encompass all types of sound art, historical and contemporary. Beginning with pioneers such as Guillaume Apollinaire reading his ""Calligrammes"" in 1913, and proceeding to current practitioners such as Vito Acconci or Kristin Oppenheim, UbuWeb Sound surveys the entire 20th century and beyond. 

Categories include Dadaism, Futurism, early 20th century literary experiments, musique concrete, electronic music, Fluxus, Beat sound works, minimalist and process works, performance art, plunderphonics and sampling, and digital glitch works, to name just a few. ",Full,EN
GO-GO ARCHIVE AT DC PUBLIC LIBRARY  ,Soul,"Funk, Washington D.C.",https://www.dclibrary.org/gogo ,,"Go-Go is a style of funk that originated in Washington D.C. in the 1970s. Known for heavy bass, driving percussion and call-and-response, the genre has become one of the most popular music forms in the city. In memory of music icon Chuck Brown, the DC Public Library established a Go-Go Archive in 2012 to honor, preserve, teach and enjoy DC's original music. The Go-Go Archive captures both well-documented and lesser-known stories from organizations, record labels, houses, venues, festivals, record shops, radio stations and artists. Currently, the Library has more than 20 linear feet of materials in various formats including photographs, books, magazines, records, cassettes, CDs, DVDs and video.",None,EN
THE SOUL ARCHIVE,Soul,"Northern Soul, UK",https://www.thesoularchive.com,,"Born out of lockdown in 2020 the Soul Archive is a non-profit project set up to document, highlight and preserve the real life stories of the British Soul Scene and its culture’s through documentary, photography, memorabilia and C-90 tapes. The archive currently includes a selection of photos, memorabilia, and tape recordings as well as an online radio. ",Full,EN
